simulation,period,variable,risk,value
1,4,ptf4,Cash,0.0
1,4,ptf4,Real Estate,101188.79891255219
1,4,ptf4,Precious Metals,32176.61129388562
1,4,ptf4,Bonds,189038.9283789351
1,4,ptf4,Crypto,21687.155905421303
1,4,ptf4,Stocks,199713.1134081226
1,4,ptf5,Cash,0.0
1,4,ptf5,Real Estate,101188.79891255219
1,4,ptf5,Precious Metals,32176.61129388562
1,4,ptf5,Bonds,189038.9283789351
1,4,ptf5,Crypto,21687.155905421303
1,4,ptf5,Stocks,199713.1134081226
1,4,returns,Cash,0.0
1,4,returns,Money Market,-0.014670278464758569
1,4,returns,Bonds,0.06341883491291686
1,4,returns,Stocks,-0.15740098534793667
1,4,returns,Crypto,-0.26800695719280865
1,4,returns,Precious Metals,0.08603708623443045
1,4,returns,Real Estate,-0.14615940032634278
1,4,contributions,,0.0
1,4,withdrawals,,50000.0
1,4,availableCash,,0.0
1,4,cashBuffer,,150000.0
1,4,cashDepletion,,19700.07559423824
1,4,shortfall,,30299.92440576176
1,4,cashReplenishment,,0
1,4,financialGainLoss,,-48746.267236483865
1,5,ptf_bop,Cash,0.0
1,5,ptf_bop,Real Estate,101188.79891255219
1,5,ptf_bop,Precious Metals,32176.61129388562
1,5,ptf_bop,Bonds,189038.9283789351
1,5,ptf_bop,Crypto,21687.155905421303
1,5,ptf_bop,Stocks,199713.1134081226
1,5,ptf_eop,Cash,150000.0
1,5,ptf_eop,Real Estate,100796.73419607272
1,5,ptf_eop,Precious Metals,25199.18354901818
1,5,ptf_eop,Bonds,151195.10129410907
1,5,ptf_eop,Crypto,25199.18354901818
1,5,ptf_eop,Stocks,201593.46839214544
1,5,ptf1,Cash,0.0
1,5,ptf1,Real Estate,101188.79891255219
1,5,ptf1,Precious Metals,32176.61129388562
1,5,ptf1,Bonds,139038.9283789351
1,5,ptf1,Crypto,21687.155905421303
1,5,ptf1,Stocks,199713.1134081226
1,5,ptf2,Cash,0.0
1,5,ptf2,Real Estate,98760.92157978336
1,5,ptf2,Precious Metals,24690.23039494584
1,5,ptf2,Bonds,148141.38236967503
1,5,ptf2,Crypto,24690.23039494584
1,5,ptf2,Stocks,197521.84315956672
1,5,ptf3,Cash,0.0
1,5,ptf3,Real Estate,121980.35011124893
1,5,ptf3,Precious Metals,22205.905127973492
1,5,ptf3,Bonds,170649.22894898965
1,5,ptf3,Crypto,48306.028458677014
1,5,ptf3,Stocks,290842.15833347454
1,5,ptf4,Cash,150000.0
1,5,ptf4,Real Estate,121980.35011124893
1,5,ptf4,Precious Metals,22205.905127973492
1,5,ptf4,Bonds,20649.22894898965
1,5,ptf4,Crypto,48306.028458677014
1,5,ptf4,Stocks,290842.15833347454
1,5,ptf5,Cash,150000.0
1,5,ptf5,Real Estate,100796.73419607272
1,5,ptf5,Precious Metals,25199.18354901818
1,5,ptf5,Bonds,151195.10129410907
1,5,ptf5,Crypto,25199.18354901818
1,5,ptf5,Stocks,201593.46839214544
1,5,returns,Cash,0.0
1,5,returns,Money Market,0.025199324170397275
1,5,returns,Bonds,0.15193490312617763
1,5,returns,Stocks,0.4724556721482171
1,5,returns,Crypto,0.9564835032307109
1,5,returns,Precious Metals,-0.10061976851706078
1,5,returns,Real Estate,0.23510745100437228
1,5,contributions,,0.0
1,5,withdrawals,,50000.0
1,5,availableCash,,0.0
1,5,cashBuffer,,150000.0
1,5,cashDepletion,,0.0
1,5,shortfall,,50000.0
1,5,cashReplenishment,,150000.0
1,5,financialGainLoss,,160179.0630814468
1,6,ptf_bop,Cash,150000.0
1,6,ptf_bop,Real Estate,100796.73419607272
1,6,ptf_bop,Precious Metals,25199.18354901818
1,6,ptf_bop,Bonds,151195.10129410907
1,6,ptf_bop,Crypto,25199.18354901818
1,6,ptf_bop,Stocks,201593.46839214544
1,6,ptf_eop,Cash,137629.20371944457
1,6,ptf_eop,Real Estate,100796.7341960727
1,6,ptf_eop,Precious Metals,25199.183549018177
1,6,ptf_eop,Bonds,151195.10129410904
1,6,ptf_eop,Crypto,25199.183549018177
1,6,ptf_eop,Stocks,201593.4683921454
1,6,ptf1,Cash,100000.0
1,6,ptf1,Real Estate,100796.73419607272
1,6,ptf1,Precious Metals,25199.18354901818
1,6,ptf1,Bonds,151195.10129410907
1,6,ptf1,Crypto,25199.18354901818
1,6,ptf1,Stocks,201593.46839214544
1,6,ptf2,Cash,100000.0
1,6,ptf2,Real Estate,100796.7341960727
1,6,ptf2,Precious Metals,25199.183549018177
1,6,ptf2,Bonds,151195.10129410907
1,6,ptf2,Crypto,25199.183549018177
1,6,ptf2,Stocks,201593.4683921454
1,6,ptf3,Cash,100000.0
1,6,ptf3,Real Estate,109411.19412641838
1,6,ptf3,Precious Metals,25403.352716802892
1,6,ptf3,Bonds,160170.01349111937
1,6,ptf3,Crypto,11618.16406420442
1,6,ptf3,Stocks,235010.15030126294
1,6,ptf4,Cash,137629.20371944457
1,6,ptf4,Real Estate,109411.19412641838
1,6,ptf4,Precious Metals,25403.352716802892
1,6,ptf4,Bonds,122540.8097716748
1,6,ptf4,Crypto,11618.16406420442
1,6,ptf4,Stocks,235010.15030126294
1,6,ptf5,Cash,137629.20371944457
1,6,ptf5,Real Estate,100796.7341960727
1,6,ptf5,Precious Metals,25199.183549018177
1,6,ptf5,Bonds,151195.10129410904
1,6,ptf5,Crypto,25199.183549018177
1,6,ptf5,Stocks,201593.4683921454
1,6,returns,Cash,0.0
1,6,returns,Money Market,0.010492533333518772
1,6,returns,Bonds,0.059359808090290206
1,6,returns,Stocks,0.16576272126096092
1,6,returns,Crypto,-0.5389468058913721
1,6,returns,Precious Metals,0.00810221360495909
1,6,returns,Real Estate,0.08546368093224718
1,6,contributions,,0.0
1,6,withdrawals,,50000.0
1,6,availableCash,,100000.0
1,6,cashBuffer,,150000.0
1,6,cashDepletion,,50000.0
1,6,shortfall,,0.0
1,6,cashReplenishment,,37629.20371944457
1,6,financialGainLoss,,37629.20371944457
1,7,ptf_bop,Cash,137629.20371944457
1,7,ptf_bop,Real Estate,100796.7341960727
1,7,ptf_bop,Precious Metals,25199.183549018177
1,7,ptf_bop,Bonds,151195.10129410904
1,7,ptf_bop,Crypto,25199.183549018177
1,7,ptf_bop,Stocks,201593.4683921454
1,7,ptf_eop,Cash,87629.20371944457
1,7,ptf_eop,Real Estate,100335.64908539211
1,7,ptf_eop,Precious Metals,15599.855777111843
1,7,ptf_eop,Bonds,159687.12127156268
1,7,ptf_eop,Crypto,12626.450510529303
1,7,ptf_eop,Stocks,203853.7379028542
1,7,ptf1,Cash,87629.20371944457
1,7,ptf1,Real Estate,100796.7341960727
1,7,ptf1,Precious Metals,25199.183549018177
1,7,ptf1,Bonds,151195.10129410904
1,7,ptf1,Crypto,25199.183549018177
1,7,ptf1,Stocks,201593.4683921454
1,7,ptf2,Cash,87629.20371944457
1,7,ptf2,Real Estate,100796.7341960727
1,7,ptf2,Precious Metals,25199.183549018177
1,7,ptf2,Bonds,151195.10129410904
1,7,ptf2,Crypto,25199.183549018177
1,7,ptf2,Stocks,201593.4683921454
1,7,ptf3,Cash,87629.20371944457
1,7,ptf3,Real Estate,100335.64908539211
1,7,ptf3,Precious Metals,15599.855777111843
1,7,ptf3,Bonds,159687.12127156268
1,7,ptf3,Crypto,12626.450510529303
1,7,ptf3,Stocks,203853.7379028542
1,7,ptf4,Cash,87629.20371944457
1,7,ptf4,Real Estate,100335.64908539211
1,7,ptf4,Precious Metals,15599.855777111843
1,7,ptf4,Bonds,159687.12127156268
1,7,ptf4,Crypto,12626.450510529303
1,7,ptf4,Stocks,203853.7379028542
1,7,ptf5,Cash,87629.20371944457
1,7,ptf5,Real Estate,100335.64908539211
1,7,ptf5,Precious Metals,15599.855777111843
1,7,ptf5,Bonds,159687.12127156268
1,7,ptf5,Crypto,12626.450510529303
1,7,ptf5,Stocks,203853.7379028542
1,7,returns,Cash,0.0
1,7,returns,Money Market,-0.030284358313064752
1,7,returns,Bonds,0.05616597300288648
1,7,returns,Stocks,0.01121201757545057
1,7,returns,Crypto,-0.4989341426095028
1,7,returns,Precious Metals,-0.3809380471884514
1,7,returns,Real Estate,-0.004574405255865459
1,7,contributions,,0.0
